EA,MinDato,MaxDato,GammelSnittValutta,GjeldeneSnittValutta,GammelSnittNOK,GjeldenePeriodeNOK,Endring%NOK
0010 - Svart stål,2024-09-12,2024-10-24,11.86768172975081,11.841108345058988,7298.624263796748,7178.671934192012,-1.6434923249814881
0011 - Bjelker,2024-09-12,2024-10-24,11.86768172975081,11.841108345058988,8900.761297313107,9117.65342569542,2.436781766608953
0012 - HUP,2024-09-12,2024-10-24,11.86768172975081,11.841108345058988,8900.761297313107,8880.83125879424,-0.22391386369257082
0014 - Plater - Tykke,2024-09-12,2024-10-24,11.86768172975081,11.841108345058988,7535.977898391764,7770.727351444961,3.174445751667876
0014 - Plater - Tynne,2024-09-12,2024-10-24,11.86768172975081,11.841108345058988,7713.993124338027,7918.741205758199,2.6542424671624487
0020 - RF og SF,2024-09-12,2024-10-24,11.86768172975081,11.841108345058988,19878.366897332606,20248.29527005087,1.1455618283743974
0021 - RF og SF Plater,2024-09-12,2024-10-24,11.86768172975081,11.841108345058988,17581.970482625824,17755.741963415952,0.6909967580361775
0811 - Kamstål,2024-09-12,2024-10-24,11.86768172975081,11.841108345058988,7001.932220552978,7215.675397770321,3.152724996047096
0812 - Nett,2024-09-12,2024-10-24,11.86768172975081,11.841108345058988,7001.932220552978,6749.4317566836235,-3.6061540717029827
